Age,Sex,JOB,HOUSING,Savings account$Checking account,Credit amount,Duration,Purpose,risk
67,male,skilled,OWN,little/little,1169,6,radio/TV,0
22,female,skilled,OWN,little/moderate,5951,48,radio/TV,1
49,male,unskilled,OWN,little/little,2096,12,education,0
45,male,skilled,FREE,little/little,7882,42,furniture/equipment,0
53,male,skilled,FREE,little/little,4870,24,car,1
35,male,unskilled,FREE,little/moderate,9055,36,education,0
53,male,skilled,OWN,quite rich/moderate,2835,24,furniture/equipment,0
35,male,highly skilled,RENT,little/moderate,6948,36,car,0
61,male,unskilled,OWN,rich/moderate,3059,12,radio/TV,0
28,male,highly skilled,OWN,little/moderate,5234,30,car,1
25,female,skilled,RENT,little/moderate,1295,12,car,1
24,,skilled,RENT,little/little,4308,48,business,1
22,female,skilled,OWN,little/moderate,1567,12,radio/TV,0
60,male,unskilled,OWN,little/little,1199,24,car,1
,female,skilled,RENT,little/little,1403,15,car,0
32,female,unskilled,OWN,moderate/little,1282,24,radio/TV,1
53,male,skilled,OWN,little/moderate,2424,24,radio/TV,0
25,male,skilled,OWN,little/little,8072,30,business,0
44,female,highly skilled,FREE,little/moderate,12579,24,car,1
31,male,skilled,OWN,quite rich/moderate,3430,24,radio/TV,0
48,male,skilled,OWN,little/little,2134,9,car,0
44,male,skilled,RENT,quite rich/little,2647,6,radio/TV,0
48,male,unskilled,RENT,little/little,2241,10,car,0
44,male,skilled,OWN,moderate/moderate,1804,12,car,0
26,male,skilled,OWN,little/moderate,2069,10,furniture/equipment,0
36,male,unskilled,OWN,little/little,1374,6,furniture/equipment,0
39,male,unskilled,OWN,little/little,426,6,radio/TV,0
42,female,skilled,RENT,rich/rich,409,12,radio/TV,0
34,male,skilled,OWN,little/moderate,2415,7,radio/TV,0
63,male,skilled,OWN,little/little,6836,60,business,1
36,male,skilled,OWN,rich/moderate,1913,18,business,0
27,male,skilled,OWN,little/little,4020,24,furniture/equipment,0
30,male,skilled,OWN,moderate/moderate,5866,18,car,0
57,male,unskilled,RENT,little/moderate,1264,12,business,0
33,female,highly_skilled,OWN,little/rich,1474,12,furniture/equipment,0
25,male,unskilled,OWN,little/moderate,4746,45,radio/TV,1
31,male,skilled,FREE,little/little,6110,48,education,0
37,male,skilled,OWN,little/rich,2100,18,radio/TV,1
37,male,skilled,OWN,little/rich,1225,10,domestic appliances,0
,male,skilled,OWN,little/moderate,458,9,radio/TV,0
30,male,highly_skilled,OWN,quite rich/moderate,2333,30,radio/TV,0
26,male,skilled,OWN,quite rich/moderate,1158,12,radio/TV,0
44,male,unskilled,OWN,little/moderate,6204,18,repairs,0
24,male,skilled,RENT,moderate/little,6187,30,car,0
58,female,unskilled,FREE,little/little,6143,48,car,1
35,female,highly_skilled,OWN,little/little,1393,11,car,0
39,male,skilled,OWN,quite rich/moderate,2299,36,radio/TV,0
23,female,unskilled,RENT,quite rich/little,1352,6,car,0
39,male,unskilled,OWN,little/little,7228,11,car,0
28,female,skilled,OWN,moderate/moderate,2073,12,radio/TV,0
29,male,unskilled,OWN,little/moderate,2333,24,furniture/equipment,0
30,male,highly_skilled,OWN,little/moderate,5965,27,car,0
25,male,skilled,OWN,little/little,1262,12,?,0
31,male,skilled,OWN,little/moderate,3378,18,car,0
57,male,skilled,FREE,little/moderate,2225,36,car,1
26,male,unskilled,OWN,little/moderate,783,6,car,0
,male,highly_skilled,OWN,little/moderate,6468,12,radio/TV,1
31,female,skilled,OWN,little/little,9566,36,radio/TV,0
23,female,highly_skilled,OWN,little/rich,1961,18,car,0
23,female,unskilled,RENT,little/little,6229,36,furniture/equipment,1
27,male,skilled,OWN,little/moderate,1391,9,business,0
50,male,skilled,OWN,little/moderate,1537,15,radio/TV,0
61,male,highly skilled,FREE,little/moderate,1953,36,business,1
25,male,skilled,OWN,little/moderate,14421,48,business,1
26,female,skilled,OWN,little/little,3181,24,radio/TV,0
48,male,skilled,OWN,little/moderate,5190,27,repairs,0
29,female,skilled,OWN,little/little,2171,12,radio/TV,0
22,male,skilled,OWN,rich/moderate,1007,12,car,0
37,male,skilled,FREE,little/little,1819,36,education,1
25,female,skilled,OWN,little/moderate,2394,36,radio/TV,0
30,female,skilled,OWN,little/little,8133,36,car,0
46,male,unskilled,RENT,little/moderate,730,7,radio/TV,0
51,male,highly skilled,FREE,little/little,1164,8,vacation/others,0
41,female,unskilled,OWN,little/moderate,5954,42,business,0
40,male,highly skilled,OWN,little/little,1977,36,education,1
66,male,highly skilled,FREE,little/little,1526,12,car,0
34,male,skilled,OWN,little/little,3965,42,radio/TV,1
51,male,skilled,OWN,little/moderate,4771,11,radio/TV,0
39,male,unskilled,OWN,little/moderate,9436,54,car,0
22,male,skilled,OWN,little/moderate,3832,30,furniture/equipment,0
44,female,skilled,OWN,little/moderate,5943,24,radio/TV,1
47,male,skilled,OWN,quite rich/moderate,1213,15,radio/TV,0
24,female,unskilled,RENT,moderate/moderate,1568,18,business,0
58,female,unskilled,OWN,little/little,1755,24,vacation/others,0
52,male,unskilled,OWN,little/little,2315,10,radio/TV,0
29,female,highly skilled,OWN,little/little,1412,12,?,0
27,female,skilled,OWN,little/moderate,1295,18,furniture/equipment,0
47,male,skilled,FREE,moderate/moderate,12612,36,education,1
30,male,highly skilled,OWN,moderate/little,2249,18,car,0
28,male,skilled,OWN,little/little,1108,12,repairs,1
56,male,skilled,OWN,little/little,618,12,radio/TV,0
54,male,skilled,OWN,little/little,1409,12,car,0
33,female,unskilled,OWN,little/moderate,797,12,radio/TV,1
20,male,skilled,RENT,little/rich,3617,24,furniture/equipment,0
54,male,skilled,OWN,rich/moderate,1318,12,car,0
58,male,skilled,RENT,little/moderate,15945,54,business,1
61,female,skilled,OWN,little/moderate,2012,12,education,0
34,male,skilled,OWN,moderate/moderate,2622,18,business,0
36,male,skilled,OWN,little/moderate,2337,36,radio/TV,0
36,male,highly skilled,RENT,little/moderate,7057,20,car,0
41,male,unskilled,RENT,moderate/moderate,1469,24,car,0
24,male,skilled,RENT,little/moderate,2323,36,radio/TV,0
24,female,skilled,OWN,little/little,932,6,radio/TV,0
35,male,skilled,RENT,little/moderate,1919,9,furniture/equipment,0
26,male,skilled,RENT,little/moderate,2445,12,car,0
39,male,highly skilled,OWN,little/moderate,11938,24,vacation/others,1
39,male,highly skilled,OWN,little/little,6458,18,car,1
32,male,skilled,OWN,little/moderate,6078,12,car,0
30,female,skilled,OWN,little/little,7721,24,furniture/equipment,0
35,male,skilled,OWN,quite rich/moderate,1410,14,business,0
31,male,skilled,OWN,moderate/moderate,1449,6,business,0
23,female,skilled,RENT,little/rich,392,15,education,0
28,male,unskilled,RENT,little/moderate,6260,18,car,0
25,female,skilled,OWN,little/little,7855,36,car,1
35,male,skilled,OWN,quite rich/little,1680,12,radio/TV,0
47,male,skilled,OWN,little/moderate,3578,48,radio/TV,0
30,female,highly skilled,OWN,little/little,7174,42,radio/TV,1
27,female,skilled,RENT,little/little,2132,10,furniture/equipment,0
23,female,skilled,OWN,quite rich/little,4281,33,furniture/equipment,1
36,,highly skilled,OWN,quite rich/moderate,2366,12,car,0
25,female,skilled,OWN,little/little,1835,21,radio/TV,1
41,female,highly skilled,RENT,little/little,3868,24,car,0
24,male,unskilled,RENT,little/little,1768,12,furniture/equipment,0
63,male,skilled,FREE,little/rich,781,10,car,0
27,female,skilled,RENT,little/moderate,1924,18,furniture/equipment,1
30,male,skilled,OWN,little/little,2121,12,car,0
40,male,unskilled,OWN,little/little,701,12,radio/TV,0
30,male,skilled,OWN,little/moderate,639,12,?,1
34,male,highly skilled,OWN,little/moderate,1860,12,car,0
29,female,skilled,OWN,little/little,3499,12,car,1
24,female,skilled,OWN,little/moderate,8487,48,car,0
29,male,skilled,OWN,little/little,6887,36,education,1
27,male,unskilled,OWN,little/little,2708,15,furniture/equipment,0
47,male,skilled,FREE,little/little,1984,18,furniture/equipment,0
21,female,skilled,OWN,moderate/moderate,10144,60,radio/TV,0
38,female,skilled,OWN,little/moderate,1240,12,radio/TV,0
27,male,skilled,OWN,rich/moderate,8613,27,car,0
66,male,unskilled,OWN,quite rich/moderate,766,12,radio/TV,1
35,male,skilled,OWN,little/moderate,2728,15,radio/TV,0
44,female,unskilled,RENT,little/rich,1881,12,radio/TV,0
27,male,unskilled,OWN,rich/rich,709,6,car,0
30,female,highly skilled,OWN,little/moderate,4795,36,radio/TV,0
27,male,highly skilled,OWN,little/little,3416,27,radio/TV,0
22,male,skilled,OWN,little/little,2462,18,furniture/equipment,1
23,female,skilled,OWN,little/little,2288,21,furniture/equipment,0
30,male,skilled,OWN,moderate/moderate,3566,48,business,0
39,female,skilled,OWN,little/little,860,6,car,0
51,female,skilled,OWN,moderate/moderate,682,12,car,0
28,male,skilled,OWN,little/little,5371,36,furniture/equipment,0
46,male,skilled,OWN,rich/moderate,1582,18,radio/TV,0
42,male,skilled,FREE,moderate/moderate,1346,6,radio/TV,0
38,male,skilled,OWN,little/little,1924,10,radio/TV,0
24,male,skilled,OWN,little/rich,5848,36,radio/TV,0
29,female,skilled,RENT,rich/moderate,7758,24,car,0
36,male,highly skilled,RENT,moderate/moderate,6967,24,business,0
20,female,skilled,RENT,little/little,1282,12,furniture/equipment,1
48,male,skilled,OWN,moderate/little,1288,9,repairs,0
45,male,unskilled,OWN,little/little,339,12,education,0
38,male,skilled,OWN,moderate/moderate,3512,24,car,0
34,male,unskilled,OWN,little/moderate,1898,6,radio/TV,0
36,male,skilled,OWN,moderate/moderate,2872,24,radio/TV,0
30,female,skilled,OWN,little/little,1055,18,car,0
36,male,skilled,OWN,quite rich/moderate,1262,15,domestic appliances,0
70,male,highly skilled,FREE,little/moderate,7308,10,car,0
36,male,skilled,OWN,quite rich/moderate,909,36,car,0
32,male,skilled,OWN,quite rich/moderate,2978,6,furniture/equipment,0
33,female,skilled,OWN,little/little,1131,18,furniture/equipment,1
20,female,skilled,OWN,rich/moderate,1577,11,furniture/equipment,0
25,female,skilled,RENT,little/little,3972,24,furniture/equipment,0
31,male,skilled,OWN,little/moderate,1935,24,business,1
33,male,skilled,RENT,little/little,950,15,car,1
26,female,skilled,OWN,little/little,763,12,furniture/equipment,0
34,female,highly skilled,OWN,little/moderate,2064,24,furniture/equipment,1
33,male,skilled,OWN,little/moderate,1414,8,radio/TV,0
26,male,skilled,OWN,little/little,3414,21,education,1
53,female,highly skilled,OWN,little/moderate,7485,30,?,1
42,male,skilled,OWN,little/little,2577,12,furniture/equipment,0
52,male,skilled,OWN,quite rich/little,338,6,radio/TV,0
31,male,highly skilled,RENT,little/little,1963,12,radio/TV,0
65,male,skilled,OWN,little/little,571,21,car,0
28,male,skilled,OWN,little/little,9572,36,business,1
30,male,highly skilled,OWN,little/moderate,4455,36,business,1
40,male,unskilled,OWN,little/little,1647,21,car,1
50,male,skilled,OWN,rich/moderate,3777,24,furniture/equipment,0
36,male,skilled,OWN,little/moderate,884,18,car,1
31,male,skilled,OWN,little/little,1360,15,radio/TV,0
74,female,highly skilled,FREE,little/moderate,5129,9,car,1
68,male,unskilled,FREE,little/moderate,1175,16,car,0
20,male,skilled,OWN,moderate/little,674,12,radio/TV,1
33,female,skilled,OWN,little/moderate,3244,18,furniture/equipment,0
54,male,highly skilled,OWN,rich/moderate,4591,24,business,1
34,male,un-skilled,FREE,moderate/moderate,3844,48,business,1
36,male,skilled,OWN,little/moderate,3915,27,business,1
29,male,skilled,RENT,little/little,2108,6,radio/TV,0
21,male,skilled,RENT,moderate/moderate,3031,45,radio/TV,1
,female,highly skilled,OWN,little/moderate,1501,9,education,1
28,female,skilled,OWN,little/little,1382,6,radio/TV,0
27,female,skilled,RENT,moderate/moderate,951,12,furniture/equipment,1
36,,skilled,FREE,little/moderate,2760,24,car,0
40,male,highly skilled,OWN,little/moderate,4297,18,furniture/equipment,1
52,male,skilled,OWN,quite rich/moderate,936,9,education,0
27,male,un-skilled,OWN,little/little,1168,12,car,0
26,male,skilled,OWN,little/little,5117,27,business,0
21,male,skilled,RENT,little/little,902,12,education,1
38,male,un-skilled,OWN,little/little,1495,12,car,0
38,male,highly skilled,FREE,little/little,10623,30,car,0
43,male,skilled,OWN,little/little,1935,12,furniture/equipment,0
26,male,skilled,OWN,little/moderate,1424,12,domestic appliances,0
21,male,un-skilled,OWN,little/little,6568,24,business,0
55,male,skilled,OWN,rich/moderate,1413,12,car,0
33,male,skilled,OWN,little/moderate,3074,9,radio/TV,0
45,female,un-skilled,OWN,little/moderate,3835,36,radio/TV,0
50,male,skilled,OWN,little/little,5293,27,business,1
66,male,highly skilled,OWN,little/rich,1908,30,business,1
51,male,skilled,OWN,little/moderate,3342,36,radio/TV,0
39,female,un-skilled,OWN,little/moderate,932,6,education,0
31,male,skilled,OWN,little/little,3104,18,business,0
23,male,skilled,OWN,little/rich,3913,36,radio/TV,0
24,male,unskilled,RENT,little/little,3021,24,furniture/equipment,0
64,female,skilled,OWN,little/little,1364,10,car,0
26,male,unskilled,OWN,little/moderate,625,12,radio/TV,0
23,female,skilled,RENT,little/little,1200,12,education,0
30,male,skilled,OWN,little/little,707,12,radio/TV,0
32,male,skilled,OWN,little/moderate,2978,24,?,0
30,male,skilled,OWN,little/little,4657,15,car,0
27,male,skilled,OWN,little/little,2613,36,repairs,0
27,male,skilled,OWN,rich/moderate,10961,48,radio/TV,1
53,male,highly skilled,FREE,little/little,7865,12,furniture/equipment,1
22,male,skilled,OWN,little/little,1478,9,radio/TV,1
22,male,skilled,FREE,little/little,3149,24,furniture/equipment,0
26,male,skilled,OWN,little/rich,4210,36,radio/TV,1
51,male,unskilled,FREE,quite rich/moderate,2507,9,car,0
35,male,skilled,OWN,moderate/moderate,2141,12,radio/TV,0
25,male,unskilled,OWN,little/moderate,866,18,radio/TV,0
42,male,unskilled,OWN,little/little,1544,4,radio/TV,0
30,male,highly skilled,OWN,little/little,1823,24,radio/TV,1
23,male,unskilled,OWN,little/moderate,14555,6,car,1
61,male,unskilled,RENT,moderate/moderate,2767,21,business,1
35,female,skilled,OWN,little/little,1291,12,radio/TV,0
39,male,skilled,OWN,little/little,2522,30,radio/TV,0
29,female,skilled,OWN,little/little,915,24,car,1
51,male,skilled,OWN,little/little,1595,6,radio/TV,0
24,male,skilled,FREE,little/little,4605,48,car,1
27,female,skilled,OWN,little/little,1185,12,business,0
35,female,unskilled,OWN,quite rich/moderate,3447,12,education,0
25,male,skilled,OWN,little/little,1258,24,business,0
52,male,skilled,OWN,little/little,717,12,radio/TV,0
35,male,skilled,RENT,moderate/moderate,1204,6,car,0
26,male,skilled,OWN,little/rich,1925,24,furniture/equipment,0
22,female,skilled,RENT,little/little,433,18,radio/TV,1
39,female,unskilled,OWN,rich/little,666,6,car,0
46,female,unskilled,OWN,little/rich,2251,12,furniture/equipment,0
24,female,skilled,OWN,little/moderate,2150,30,car,1
35,male,skilled,OWN,moderate/moderate,4151,24,furniture/equipment,0
24,male,skilled,OWN,little/moderate,2030,9,furniture/equipment,0
27,male,unskilled,OWN,little/moderate,7418,60,radio/TV,0
35,male,unskilled,OWN,little/little,2684,24,radio/TV,0
29,male,skilled,FREE,little/little,2149,12,radio/TV,1
23,female,skilled,OWN,moderate/moderate,3812,15,car,0
57,female,unskilled,OWN,moderate/moderate,1154,11,radio/TV,0
27,male,skilled,OWN,little/little,1657,12,furniture/equipment,0
55,female,skilled,OWN,little/little,1603,24,radio/TV,0
36,male,highly skilled,FREE,little/little,5302,18,car,0
57,female,unskilled,FREE,little/little,2748,12,education,0
32,male,unskilled,OWN,little/little,1231,10,car,0
37,male,skilled,OWN,little/moderate,802,15,radio/TV,1
36,male,skilled,OWN,little/moderate,6304,36,business,0
38,female,skilled,OWN,little/little,1533,24,radio/TV,0
45,male,highly skilled,OWN,little/little,8978,14,car,1
25,male,skilled,OWN,little/moderate,999,24,radio/TV,0
32,male,skilled,OWN,little/moderate,2662,18,car,0
37,female,skilled,RENT,quite rich/moderate,1402,12,furniture/equipment,0
36,male,highly skilled,FREE,little/moderate,12169,48,car,0
28,male,skilled,OWN,little/moderate,3060,48,radio/TV,1
34,male,unskilled,OWN,little/little,11998,30,repairs,1
32,male,skilled,OWN,little/little,2697,9,radio/TV,0
26,female,skilled,OWN,little/little,2404,18,radio/TV,0
49,male,unskilled,OWN,little/little,1262,12,furniture/equipment,0
32,female,skilled,OWN,little/little,4611,6,furniture/equipment,1
29,male,highly skilled,RENT,moderate/moderate,1901,24,radio/TV,0
,male,skilled,RENT,rich/moderate,3368,15,car,0
50,male,skilled,OWN,little/little,1574,12,furniture/equipment,0
49,male,unskilled,OWN,little/rich,1445,18,radio/TV,0
63,male,skilled,OWN,little/moderate,1520,15,furniture/equipment,0
37,male,skilled,OWN,moderate/moderate,3878,24,car,0
35,female,unskilled,OWN,little/little,10722,47,car,0
26,male,skilled,OWN,little/little,4788,48,car,0
31,male,highly skilled,FREE,moderate/moderate,7582,48,vacation/others,0
49,female,skilled,OWN,little/moderate,1092,12,radio/TV,0
48,male,skilled,OWN,little/little,1024,24,radio/TV,1
26,male,skilled,OWN,little/little,1076,12,business,0
28,male,highly skilled,RENT,little/moderate,9398,36,car,1
44,female,highly skilled,FREE,little/little,6419,24,car,0
56,,skilled,FREE,little/rich,4796,42,car,0
46,male,highly skilled,OWN,little/moderate,7629,48,business,0
26,female,skilled,OWN,little/moderate,9960,48,furniture/equipment,1
20,female,skilled,RENT,little/moderate,4675,12,car,0
45,male,unskilled,OWN,little/moderate,1287,10,car,0
43,male,skilled,OWN,little/little,2515,18,furniture/equipment,0
32,male,skilled,OWN,rich/moderate,2745,21,furniture/equipment,0
54,female,unskilled,OWN,little/little,672,6,car,0
42,female,skilled,OWN,little/moderate,3804,36,radio/TV,1
37,male,unskilled,OWN,little/rich,1344,24,car,1
49,male,skilled,OWN,little/little,1038,10,car,0
44,male,skilled,FREE,quite rich/moderate,10127,48,car,1
33,male,skilled,OWN,rich/moderate,1543,6,furniture/equipment,0
24,female,unskilled,RENT,little/moderate,4811,30,car,0
33,male,unskilled,OWN,moderate/little,727,12,radio/TV,1
24,female,skilled,OWN,little/moderate,1237,8,furniture/equipment,1
22,male,unskilled,RENT,little/moderate,276,9,car,0
40,male,unskilled,FREE,little/moderate,5381,48,vacation/others,0
25,male,skilled,OWN,moderate/moderate,5511,24,furniture/equipment,0
26,female,skilled,OWN,little/rich,3749,24,furniture/equipment,0
25,male,unskilled,OWN,little/moderate,685,12,car,1
29,male,unskilled,OWN,little/rich,1494,4,car,0
31,male,skilled,OWN,little/little,2746,36,furniture/equipment,1
38,male,unskilled,OWN,little/little,708,12,furniture/equipment,0
48,female,unskilled,OWN,little/moderate,4351,24,furniture/equipment,0
32,male,skilled,OWN,little/little,701,12,education,0
27,female,unskilled,OWN,little/little,3643,15,furniture/equipment,0
28,male,highly skilled,OWN,little/moderate,4249,30,car,1
32,male,skilled,OWN,little/little,1938,24,radio/TV,1
34,male,highly skilled,FREE,little/little,2910,24,car,0
28,male,skilled,OWN,rich/little,2659,18,furniture/equipment,0
36,female,skilled,OWN,little/little,1028,18,car,0
39,male,unskilled,OWN,little/little,3398,8,car,0
49,male,skilled,RENT,little/moderate,5801,12,furniture/equipment,0
34,female,skilled,OWN,rich/moderate,1525,24,car,0
31,male,skilled,OWN,little/rich,4473,36,radio/TV,0
28,male,skilled,OWN,little/moderate,1068,6,radio/TV,0
75,male,highly skilled,FREE,little/little,6615,24,car,0
30,female,skilled,OWN,moderate/moderate,1864,18,education,1
24,female,highly skilled,OWN,moderate/moderate,7408,60,car,1
